Entity,Code,Year,"6.1.1 - Proportion of population using safely managed drinking water services, by urban/rural (%) - SH_H2O_SAFE - All areas"
Madagascar,MDG,2001,7.49
Madagascar,MDG,2002,8.06
Madagascar,MDG,2003,8.65
Madagascar,MDG,2004,9.25
Madagascar,MDG,2005,9.93
Madagascar,MDG,2006,10.64
Madagascar,MDG,2007,11.36
Madagascar,MDG,2008,12.11
Madagascar,MDG,2009,12.87
Madagascar,MDG,2010,13.66
Madagascar,MDG,2011,14.46
Madagascar,MDG,2012,15.29
Madagascar,MDG,2013,16.14
Madagascar,MDG,2014,16.76
Madagascar,MDG,2015,17.39
Madagascar,MDG,2016,18.03
Madagascar,MDG,2017,18.68
Madagascar,MDG,2018,19.36
Madagascar,MDG,2019,20.05
Madagascar,MDG,2020,20.76
Madagascar,MDG,2021,21.49
Madagascar,MDG,2022,22.24
Malawi,MWI,2000,6.93
Malawi,MWI,2001,7.3
Malawi,MWI,2002,7.68
Malawi,MWI,2003,8.07
Malawi,MWI,2004,8.47
Malawi,MWI,2005,8.87
Malawi,MWI,2006,9.29
Malawi,MWI,2007,9.72
Malawi,MWI,2008,10.15
Malawi,MWI,2009,10.6
Malawi,MWI,2010,11.06
Malawi,MWI,2011,11.54
Malawi,MWI,2012,12.03
Malawi,MWI,2013,12.53
Malawi,MWI,2014,13.05
Malawi,MWI,2015,13.59
Malawi,MWI,2016,14.14
Malawi,MWI,2017,14.7
Malawi,MWI,2018,15.28
Malawi,MWI,2019,15.88
Malawi,MWI,2020,16.49
Malawi,MWI,2021,17.11
Malawi,MWI,2022,17.76
Malaysia,MYS,2000,92.58
Malaysia,MYS,2001,92.7
Malaysia,MYS,2002,92.76
Malaysia,MYS,2003,92.83
Malaysia,MYS,2004,92.9
Malaysia,MYS,2005,92.97
Malaysia,MYS,2006,93.04
Malaysia,MYS,2007,93.11
Malaysia,MYS,2008,93.18
Malaysia,MYS,2009,93.25
Malaysia,MYS,2010,93.32
Malaysia,MYS,2011,93.37
Malaysia,MYS,2012,93.42
Malaysia,MYS,2013,93.47
Malaysia,MYS,2014,93.52
Malaysia,MYS,2015,93.57
Malaysia,MYS,2016,93.63
Malaysia,MYS,2017,93.68
Malaysia,MYS,2018,93.72
Malaysia,MYS,2019,93.77
Malaysia,MYS,2020,93.82
Malaysia,MYS,2021,93.86
Malaysia,MYS,2022,93.94
Malta,MLT,2000,100
Malta,MLT,2001,100
Malta,MLT,2002,100
Malta,MLT,2003,100
Malta,MLT,2004,100
Malta,MLT,2005,100
Malta,MLT,2006,100
Malta,MLT,2007,100
Malta,MLT,2008,100
Malta,MLT,2009,100
Malta,MLT,2010,99.98
Malta,MLT,2011,99.97
Malta,MLT,2012,99.95
Malta,MLT,2013,99.93
Malta,MLT,2014,99.91
Malta,MLT,2015,99.9
Malta,MLT,2016,99.88
Malta,MLT,2017,99.86
Malta,MLT,2018,99.84
Malta,MLT,2019,99.83
Malta,MLT,2020,99.81
Malta,MLT,2021,99.79
Malta,MLT,2022,99.77
Martinique,MTQ,2000,99.32
Martinique,MTQ,2001,99.32
Martinique,MTQ,2002,99.32
Martinique,MTQ,2003,99.32
Martinique,MTQ,2004,99.32
Martinique,MTQ,2005,99.32
Martinique,MTQ,2006,99.32
Martinique,MTQ,2007,99.32
Martinique,MTQ,2008,99.28
Martinique,MTQ,2009,99.25
Martinique,MTQ,2010,99.21
Martinique,MTQ,2011,99.17
Martinique,MTQ,2012,99.13
Martinique,MTQ,2013,99.1
Martinique,MTQ,2014,99.06
Martinique,MTQ,2015,99.02
Martinique,MTQ,2016,98.99
Martinique,MTQ,2017,98.95
Martinique,MTQ,2018,98.91
Martinique,MTQ,2019,98.88
Martinique,MTQ,2020,98.84
Martinique,MTQ,2021,98.8
Martinique,MTQ,2022,98.77
Mayotte,MYT,2006,79.37
Mayotte,MYT,2007,79.37
Mayotte,MYT,2008,79.37
Mayotte,MYT,2009,79.13
Mayotte,MYT,2010,79.13
Mayotte,MYT,2011,81.47
Mayotte,MYT,2012,83.81
Mayotte,MYT,2013,86.11
Mayotte,MYT,2014,88.35
Mayotte,MYT,2015,90.58
Mayotte,MYT,2016,92.81
Mayotte,MYT,2017,94.32
Mayotte,MYT,2018,93.88
Mayotte,MYT,2019,93.44
Mayotte,MYT,2020,93.11
Mayotte,MYT,2021,92.79
Mayotte,MYT,2022,92.46
Mexico,MEX,2000,39.59
Mexico,MEX,2001,39.78
Mexico,MEX,2002,39.96
Mexico,MEX,2003,40.14
Mexico,MEX,2004,40.32
Mexico,MEX,2005,40.49
Mexico,MEX,2006,40.67
Mexico,MEX,2007,40.84
Mexico,MEX,2008,41.01
Mexico,MEX,2009,41.18
Mexico,MEX,2010,41.35
Mexico,MEX,2011,41.52
Mexico,MEX,2012,41.68
Mexico,MEX,2013,41.84
Mexico,MEX,2014,42
Mexico,MEX,2015,42.16
Mexico,MEX,2016,42.32
Mexico,MEX,2017,42.48
Mexico,MEX,2018,42.63
Mexico,MEX,2019,42.78
Mexico,MEX,2020,42.89
Mexico,MEX,2021,42.97
Mexico,MEX,2022,43.04
Moldova,MDA,2000,40.35
Moldova,MDA,2001,42.26
Moldova,MDA,2002,44.22
Moldova,MDA,2003,46.22
Moldova,MDA,2004,48.27
Moldova,MDA,2005,50.46
Moldova,MDA,2006,52.77
Moldova,MDA,2007,55.12
Moldova,MDA,2008,57.5
Moldova,MDA,2009,59.91
Moldova,MDA,2010,62.35
Moldova,MDA,2011,64.83
Moldova,MDA,2012,67.34
Moldova,MDA,2013,69.88
Moldova,MDA,2014,72.45
Moldova,MDA,2015,72.77
Moldova,MDA,2016,73.11
Moldova,MDA,2017,73.44
Moldova,MDA,2018,73.79
Moldova,MDA,2019,74.14
Moldova,MDA,2020,74.5
Moldova,MDA,2021,74.86
Moldova,MDA,2022,75.22
Monaco,MCO,2000,100
Monaco,MCO,2001,100
Monaco,MCO,2002,100
Monaco,MCO,2003,100
Monaco,MCO,2004,100
Monaco,MCO,2005,100
Monaco,MCO,2006,100
Monaco,MCO,2007,100
Monaco,MCO,2008,100
Monaco,MCO,2009,100
Monaco,MCO,2010,100
Monaco,MCO,2011,100
Monaco,MCO,2012,100
Monaco,MCO,2013,100
Monaco,MCO,2014,100
Monaco,MCO,2015,100
Monaco,MCO,2016,100
Monaco,MCO,2017,100
Monaco,MCO,2018,100
Monaco,MCO,2019,100
Monaco,MCO,2020,100
Monaco,MCO,2021,100
Monaco,MCO,2022,100
Mongolia,MNG,2000,18.26
Mongolia,MNG,2001,19.22
Mongolia,MNG,2002,20.2
Mongolia,MNG,2003,21.2
Mongolia,MNG,2004,22.22
Mongolia,MNG,2005,23.26
Mongolia,MNG,2006,24.32
Mongolia,MNG,2007,25.39
Mongolia,MNG,2008,26.48
Mongolia,MNG,2009,27.58
Mongolia,MNG,2010,28.7
Mongolia,MNG,2011,29.62
Mongolia,MNG,2012,30.44
Mongolia,MNG,2013,31.27
Mongolia,MNG,2014,32.11
Mongolia,MNG,2015,32.96
Mongolia,MNG,2016,33.82
Mongolia,MNG,2017,34.69
Mongolia,MNG,2018,35.58
Mongolia,MNG,2019,36.48
Mongolia,MNG,2020,37.4
Mongolia,MNG,2021,38.33
Mongolia,MNG,2022,39.28
Montenegro,MNE,2006,83.87
Montenegro,MNE,2007,83.99
Montenegro,MNE,2008,84.08
Montenegro,MNE,2009,84.17
Montenegro,MNE,2010,84.26
Montenegro,MNE,2011,84.35
Montenegro,MNE,2012,84.44
Montenegro,MNE,2013,84.53
Montenegro,MNE,2014,84.62
Montenegro,MNE,2015,84.71
Montenegro,MNE,2016,84.8
Montenegro,MNE,2017,84.89
Montenegro,MNE,2018,84.95
Montenegro,MNE,2019,85.01
Montenegro,MNE,2020,85.07
Montenegro,MNE,2021,85.1
Montenegro,MNE,2022,85.12
Morocco,MAR,2000,41.52
Morocco,MAR,2001,41.96
Morocco,MAR,2002,42.39
Morocco,MAR,2003,42.83
Morocco,MAR,2004,43.26
Morocco,MAR,2005,43.81
Morocco,MAR,2006,44.37
Morocco,MAR,2007,44.93
Morocco,MAR,2008,47.74
Morocco,MAR,2009,50.6
Morocco,MAR,2010,53.52
Morocco,MAR,2011,56.48
Morocco,MAR,2012,59.49
Morocco,MAR,2013,62.55
Morocco,MAR,2014,65.66
Morocco,MAR,2015,68.28
Morocco,MAR,2016,69.9
Morocco,MAR,2017,71.53
Morocco,MAR,2018,73.15
Morocco,MAR,2019,73.58
Morocco,MAR,2020,73.91
Morocco,MAR,2021,74.59
Morocco,MAR,2022,74.82
Myanmar,MMR,2000,27.51
Myanmar,MMR,2001,28.96
Myanmar,MMR,2002,30.43
Myanmar,MMR,2003,31.93
Myanmar,MMR,2004,33.46
Myanmar,MMR,2005,35.01
Myanmar,MMR,2006,36.59
Myanmar,MMR,2007,38.19
Myanmar,MMR,2008,39.82
Myanmar,MMR,2009,41.48
Myanmar,MMR,2010,43.16
Myanmar,MMR,2011,44.67
Myanmar,MMR,2012,45.98
Myanmar,MMR,2013,47.32
Myanmar,MMR,2014,48.66
Myanmar,MMR,2015,50.03
Myanmar,MMR,2016,51.42
Myanmar,MMR,2017,52.82
Myanmar,MMR,2018,54.24
Myanmar,MMR,2019,55.68
Myanmar,MMR,2020,56.77
Myanmar,MMR,2021,57.33
Myanmar,MMR,2022,57.4
Nepal,NPL,2000,26.74
Nepal,NPL,2001,27.04
Nepal,NPL,2002,27.3
Nepal,NPL,2003,27.56
Nepal,NPL,2004,27.82
Nepal,NPL,2005,28.08
Nepal,NPL,2006,28.34
Nepal,NPL,2007,28.59
Nepal,NPL,2008,28.85
Nepal,NPL,2009,29.11
Nepal,NPL,2010,29.36
Nepal,NPL,2011,29.61
Nepal,NPL,2012,29.86
Nepal,NPL,2013,28.43
Nepal,NPL,2014,26.98
Nepal,NPL,2015,25.49
Nepal,NPL,2016,23.99
Nepal,NPL,2017,22.45
Nepal,NPL,2018,20.9
Nepal,NPL,2019,19.31
Nepal,NPL,2020,17.71
Nepal,NPL,2021,16.08
Nepal,NPL,2022,16.12
Netherlands,NLD,2000,99.99
Netherlands,NLD,2001,99.99
Netherlands,NLD,2002,99.99
Netherlands,NLD,2003,99.99
Netherlands,NLD,2004,99.99
Netherlands,NLD,2005,99.99
Netherlands,NLD,2006,99.99
Netherlands,NLD,2007,99.99
Netherlands,NLD,2008,99.98
Netherlands,NLD,2009,99.98
Netherlands,NLD,2010,99.98
Netherlands,NLD,2011,99.98
Netherlands,NLD,2012,99.98
Netherlands,NLD,2013,99.98
Netherlands,NLD,2014,99.98
Netherlands,NLD,2015,99.98
Netherlands,NLD,2016,99.97
Netherlands,NLD,2017,99.97
Netherlands,NLD,2018,99.97
Netherlands,NLD,2019,99.97
Netherlands,NLD,2020,99.97
Netherlands,NLD,2021,99.97
Netherlands,NLD,2022,99.97
New Caledonia,NCL,2000,87.04
New Caledonia,NCL,2001,87.04
New Caledonia,NCL,2002,87.04
New Caledonia,NCL,2003,87.71
New Caledonia,NCL,2004,88.37
New Caledonia,NCL,2005,89.04
New Caledonia,NCL,2006,89.71
New Caledonia,NCL,2007,90.38
New Caledonia,NCL,2008,91.05
New Caledonia,NCL,2009,91.73
New Caledonia,NCL,2010,92.4
New Caledonia,NCL,2011,93.08
New Caledonia,NCL,2012,93.76
New Caledonia,NCL,2013,94.45
New Caledonia,NCL,2014,95.13
New Caledonia,NCL,2015,95.5
New Caledonia,NCL,2016,95.73
New Caledonia,NCL,2017,95.96
New Caledonia,NCL,2018,96.18
New Caledonia,NCL,2019,96.41
New Caledonia,NCL,2020,96.64
New Caledonia,NCL,2021,96.87
New Caledonia,NCL,2022,96.87
New Zealand,NZL,2000,84.39
New Zealand,NZL,2001,84.39
New Zealand,NZL,2002,84.39
New Zealand,NZL,2003,84.39
New Zealand,NZL,2004,84.39
New Zealand,NZL,2005,84.39
New Zealand,NZL,2006,85.37
New Zealand,NZL,2007,86.36
New Zealand,NZL,2008,87.34
New Zealand,NZL,2009,88.32
New Zealand,NZL,2010,89.3
New Zealand,NZL,2011,90.28
New Zealand,NZL,2012,91.26
New Zealand,NZL,2013,92.24
New Zealand,NZL,2014,93.22
New Zealand,NZL,2015,94.2
New Zealand,NZL,2016,95.18
New Zealand,NZL,2017,96.16
New Zealand,NZL,2018,97.14
New Zealand,NZL,2019,98.12
New Zealand,NZL,2020,99.1
New Zealand,NZL,2021,100
New Zealand,NZL,2022,100
Nicaragua,NIC,2000,47.85
Nicaragua,NIC,2001,47.95
Nicaragua,NIC,2002,48.05
Nicaragua,NIC,2003,48.15
Nicaragua,NIC,2004,48.25
Nicaragua,NIC,2005,48.36
Nicaragua,NIC,2006,48.48
Nicaragua,NIC,2007,48.6
Nicaragua,NIC,2008,49.64
Nicaragua,NIC,2009,50.66
Nicaragua,NIC,2010,51.67
Nicaragua,NIC,2011,52.67
Nicaragua,NIC,2012,53.65
Nicaragua,NIC,2013,54.63
Nicaragua,NIC,2014,55.08
Nicaragua,NIC,2015,55.17
Nicaragua,NIC,2016,55.26
Nicaragua,NIC,2017,55.31
Nicaragua,NIC,2018,55.37
Nicaragua,NIC,2019,55.44
Nicaragua,NIC,2020,55.52
Nigeria,NGA,2000,12.6
Nigeria,NGA,2001,12.97
Nigeria,NGA,2002,13.78
Nigeria,NGA,2003,14.61
Nigeria,NGA,2004,15.48
Nigeria,NGA,2005,16.36
Nigeria,NGA,2006,17.27
Nigeria,NGA,2007,18.21
Nigeria,NGA,2008,19.18
Nigeria,NGA,2009,20.17
Nigeria,NGA,2010,21.19
Nigeria,NGA,2011,22.23
Nigeria,NGA,2012,23.2
Nigeria,NGA,2013,23.79
Nigeria,NGA,2014,24.38
Nigeria,NGA,2015,24.97
Nigeria,NGA,2016,25.55
Nigeria,NGA,2017,26.13
Nigeria,NGA,2018,26.71
Nigeria,NGA,2019,27.28
Nigeria,NGA,2020,27.85
Nigeria,NGA,2021,28.42
Nigeria,NGA,2022,28.98
Niue,NIU,2000,98.25
Niue,NIU,2001,98.25
Niue,NIU,2002,98.25
Niue,NIU,2003,98.25
Niue,NIU,2004,98.25
Niue,NIU,2005,98.1
Niue,NIU,2006,97.96
Niue,NIU,2007,97.81
Niue,NIU,2008,97.66
Niue,NIU,2009,97.51
Niue,NIU,2010,97.37
Niue,NIU,2011,97.11
Niue,NIU,2012,96.66
Niue,NIU,2013,96.22
Niue,NIU,2014,95.77
Niue,NIU,2015,95.32
Niue,NIU,2016,94.87
Niue,NIU,2017,94.43
Niue,NIU,2018,93.98
Niue,NIU,2019,93.54
Niue,NIU,2020,93.54
Niue,NIU,2021,93.54
Niue,NIU,2022,93.54
North Korea,PRK,2000,69
North Korea,PRK,2001,69.02
North Korea,PRK,2002,69.04
North Korea,PRK,2003,69.06
North Korea,PRK,2004,69.04
North Korea,PRK,2005,68.83
North Korea,PRK,2006,68.62
North Korea,PRK,2007,68.41
North Korea,PRK,2008,68.21
North Korea,PRK,2009,68.02
North Korea,PRK,2010,67.84
North Korea,PRK,2011,67.66
North Korea,PRK,2012,67.49
North Korea,PRK,2013,67.31
North Korea,PRK,2014,67.13
North Korea,PRK,2015,66.96
North Korea,PRK,2016,66.79
North Korea,PRK,2017,66.63
North Korea,PRK,2018,66.47
North Korea,PRK,2019,66.31
North Korea,PRK,2020,66.38
North Korea,PRK,2021,66.45
North Korea,PRK,2022,66.53
North Macedonia,MKD,2000,80.47
North Macedonia,MKD,2001,80.45
North Macedonia,MKD,2002,80.43
North Macedonia,MKD,2003,80.41
North Macedonia,MKD,2004,80.39
North Macedonia,MKD,2005,80.37
North Macedonia,MKD,2006,80.36
North Macedonia,MKD,2007,80.35
North Macedonia,MKD,2008,80.34
North Macedonia,MKD,2009,80.34
North Macedonia,MKD,2010,80.34
North Macedonia,MKD,2011,80.34
North Macedonia,MKD,2012,80.34
North Macedonia,MKD,2013,80.35
North Macedonia,MKD,2014,80.36
North Macedonia,MKD,2015,80.38
North Macedonia,MKD,2016,80.4
North Macedonia,MKD,2017,80.42
North Macedonia,MKD,2018,80.32
North Macedonia,MKD,2019,80.35
North Macedonia,MKD,2020,80.38
North Macedonia,MKD,2021,80.41
North Macedonia,MKD,2022,80.45
Northern Africa (UN),,2000,64.01
Northern Africa (UN),,2001,64.12
Northern Africa (UN),,2002,64.79
Northern Africa (UN),,2003,65.46
Northern Africa (UN),,2004,66.13
Northern Africa (UN),,2005,66.94
Northern Africa (UN),,2006,67.74
Northern Africa (UN),,2007,68.52
Northern Africa (UN),,2008,69.32
Northern Africa (UN),,2009,70.11
Northern Africa (UN),,2010,70.93
Northern Africa (UN),,2011,71.55
Northern Africa (UN),,2012,72.04
Northern Africa (UN),,2013,72.57
Northern Africa (UN),,2014,73.08
Northern Africa (UN),,2015,73.57
Northern Africa (UN),,2016,74.07
Northern Africa (UN),,2017,74.56
Northern Africa (UN),,2018,74.47
Northern Africa (UN),,2019,74.37
Northern Africa (UN),,2020,74.29
Northern Africa (UN),,2021,74.24
Northern Africa (UN),,2022,74.41
Northern America (UN),,2005,95.39
Northern America (UN),,2006,95.4
Northern America (UN),,2007,95.4
Northern America (UN),,2008,95.41
Northern America (UN),,2009,95.42
Northern America (UN),,2010,95.58
Northern America (UN),,2011,95.74
Northern America (UN),,2012,95.89
Northern America (UN),,2013,96.05
Northern America (UN),,2014,96.2
Northern America (UN),,2015,96.35
Northern America (UN),,2016,96.51
Northern America (UN),,2017,96.66
Northern America (UN),,2018,96.81
Northern America (UN),,2019,96.96
Northern America (UN),,2020,97.1
Northern America (UN),,2021,97.25
Northern America (UN),,2022,97.39
Northern Mariana Islands,MNP,2000,82.03
Northern Mariana Islands,MNP,2001,82.2
Northern Mariana Islands,MNP,2002,82.38
Northern Mariana Islands,MNP,2003,82.56
Northern Mariana Islands,MNP,2004,83.12
Northern Mariana Islands,MNP,2005,83.69
Northern Mariana Islands,MNP,2006,84.26
Northern Mariana Islands,MNP,2007,84.82
Northern Mariana Islands,MNP,2008,85.39
Northern Mariana Islands,MNP,2009,85.97
Northern Mariana Islands,MNP,2010,86.54
Northern Mariana Islands,MNP,2011,87.12
Northern Mariana Islands,MNP,2012,87.69
Northern Mariana Islands,MNP,2013,88.27
Northern Mariana Islands,MNP,2014,88.85
Northern Mariana Islands,MNP,2015,89.43
Northern Mariana Islands,MNP,2016,89.85
Northern Mariana Islands,MNP,2017,90.24
Northern Mariana Islands,MNP,2018,90.64
Northern Mariana Islands,MNP,2019,90.64
Northern Mariana Islands,MNP,2020,90.64
Northern Mariana Islands,MNP,2021,90.64
Northern Mariana Islands,MNP,2022,90.64
Norway,NOR,2000,99.91
Norway,NOR,2001,99.91
Norway,NOR,2002,99.91
Norway,NOR,2003,99.85
Norway,NOR,2004,99.8
Norway,NOR,2005,99.75
Norway,NOR,2006,99.69
Norway,NOR,2007,99.64
Norway,NOR,2008,99.58
Norway,NOR,2009,99.53
Norway,NOR,2010,99.47
Norway,NOR,2011,99.42
Norway,NOR,2012,99.37
Norway,NOR,2013,99.31
Norway,NOR,2014,99.26
Norway,NOR,2015,99.2
Norway,NOR,2016,99.15
Norway,NOR,2017,99.09
Norway,NOR,2018,99.04
Norway,NOR,2019,98.99
Norway,NOR,2020,98.93
Norway,NOR,2021,98.88
Norway,NOR,2022,98.82
Oman,OMN,2000,83.9
Oman,OMN,2001,83.89
Oman,OMN,2002,83.89
Oman,OMN,2003,83.88
Oman,OMN,2004,83.96
Oman,OMN,2005,84.33
Oman,OMN,2006,84.69
Oman,OMN,2007,85.05
Oman,OMN,2008,85.41
Oman,OMN,2009,85.76
Oman,OMN,2010,86.11
Oman,OMN,2011,86.57
Oman,OMN,2012,87.1
Oman,OMN,2013,87.61
Oman,OMN,2014,88.1
Oman,OMN,2015,88.58
Oman,OMN,2016,89.04
Oman,OMN,2017,89.47
Oman,OMN,2018,89.89
Oman,OMN,2019,90.27
Oman,OMN,2020,90.56
Oman,OMN,2021,90.71
Oman,OMN,2022,90.85
Pakistan,PAK,2000,34.83
Pakistan,PAK,2001,34.94
Pakistan,PAK,2002,35.05
Pakistan,PAK,2003,35.16
Pakistan,PAK,2004,35.27
Pakistan,PAK,2005,35.57
Pakistan,PAK,2006,35.87
Pakistan,PAK,2007,36.17
Pakistan,PAK,2008,36.47
Pakistan,PAK,2009,37.47
Pakistan,PAK,2010,38.46
Pakistan,PAK,2011,39.46
Pakistan,PAK,2012,40.46
Pakistan,PAK,2013,41.46
Pakistan,PAK,2014,42.46
Pakistan,PAK,2015,43.47
Pakistan,PAK,2016,44.48
Pakistan,PAK,2017,45.49
Pakistan,PAK,2018,46.5
Pakistan,PAK,2019,47.52
Pakistan,PAK,2020,48.55
Pakistan,PAK,2021,49.57
Pakistan,PAK,2022,50.6
Palau,PLW,2000,65.43
Palau,PLW,2001,66.31
Palau,PLW,2002,67.19
Palau,PLW,2003,68.06
Palau,PLW,2004,69.14
Palau,PLW,2005,70.23
Palau,PLW,2006,71.33
Palau,PLW,2007,72.44
Palau,PLW,2008,73.58
Palau,PLW,2009,74.72
Palau,PLW,2010,75.87
Palau,PLW,2011,77.04
Palau,PLW,2012,78.22
Palau,PLW,2013,79.41
Palau,PLW,2014,80.62
Palau,PLW,2015,81.83
Palau,PLW,2016,83.05
Palau,PLW,2017,84.27
Palau,PLW,2018,85.5
Palau,PLW,2019,86.73
Palau,PLW,2020,87.96
Palau,PLW,2021,89.2
Palau,PLW,2022,90.44
Palestine,PSE,2000,73.14
Palestine,PSE,2001,73.47
Palestine,PSE,2002,73.8
Palestine,PSE,2003,74.13
Palestine,PSE,2004,74.46
Palestine,PSE,2005,74.79
Palestine,PSE,2006,75.12
Palestine,PSE,2007,75.45
Palestine,PSE,2008,75.78
Palestine,PSE,2009,76.11
Palestine,PSE,2010,76.43
Palestine,PSE,2011,76.76
Palestine,PSE,2012,77.09
Palestine,PSE,2013,77.42
Palestine,PSE,2014,77.74
Palestine,PSE,2015,78.07
Palestine,PSE,2016,78.4
Palestine,PSE,2017,78.72
Palestine,PSE,2018,79.05
Palestine,PSE,2019,79.37
Palestine,PSE,2020,79.7
Palestine,PSE,2021,80.02
Palestine,PSE,2022,80.33
Paraguay,PRY,2000,49.84
Paraguay,PRY,2001,50.79
Paraguay,PRY,2002,51.73
Paraguay,PRY,2003,52.57
Paraguay,PRY,2004,53.38
Paraguay,PRY,2005,54.18
Paraguay,PRY,2006,54.97
Paraguay,PRY,2007,55.76
Paraguay,PRY,2008,56.54
Paraguay,PRY,2009,57.32
Paraguay,PRY,2010,58.08
Paraguay,PRY,2011,58.84
Paraguay,PRY,2012,59.6
Paraguay,PRY,2013,60.33
Paraguay,PRY,2014,61.06
Paraguay,PRY,2015,61.78
Paraguay,PRY,2016,62.5
Paraguay,PRY,2017,63.21
Paraguay,PRY,2018,63.92
Paraguay,PRY,2019,64.02
Paraguay,PRY,2020,64.08
Paraguay,PRY,2021,64.15
Paraguay,PRY,2022,64.22
Peru,PER,2000,44.9
Peru,PER,2001,45.3
Peru,PER,2002,45.69
Peru,PER,2003,46.08
Peru,PER,2004,46.47
Peru,PER,2005,46.86
Peru,PER,2006,47.24
Peru,PER,2007,47.61
Peru,PER,2008,47.93
Peru,PER,2009,48.23
Peru,PER,2010,48.52
Peru,PER,2011,48.82
Peru,PER,2012,49.11
Peru,PER,2013,49.4
Peru,PER,2014,49.69
Peru,PER,2015,49.97
Peru,PER,2016,50.26
Peru,PER,2017,50.54
Peru,PER,2018,50.83
Peru,PER,2019,51.12
Peru,PER,2020,51.41
Peru,PER,2021,51.7
Peru,PER,2022,51.99
Philippines,PHL,2000,40.57
Philippines,PHL,2001,40.68
Philippines,PHL,2002,41.83
Philippines,PHL,2003,42.99
Philippines,PHL,2004,44.17
Philippines,PHL,2005,44.53
Philippines,PHL,2006,44.67
Philippines,PHL,2007,44.81
Philippines,PHL,2008,44.95
Philippines,PHL,2009,45.08
Philippines,PHL,2010,45.24
Philippines,PHL,2011,45.45
Philippines,PHL,2012,45.67
Philippines,PHL,2013,45.88
Philippines,PHL,2014,46.1
Philippines,PHL,2015,46.31
Philippines,PHL,2016,46.53
Philippines,PHL,2017,46.75
Philippines,PHL,2018,46.97
Philippines,PHL,2019,47.2
Philippines,PHL,2020,47.43
Philippines,PHL,2021,47.66
Philippines,PHL,2022,47.9
Poland,POL,2005,91.96
Poland,POL,2006,92.34
Poland,POL,2007,92.73
Poland,POL,2008,93.12
Poland,POL,2009,93.51
Poland,POL,2010,93.24
Poland,POL,2011,92.95
Poland,POL,2012,92.66
Poland,POL,2013,92.35
Poland,POL,2014,92.04
Poland,POL,2015,91.71
Poland,POL,2016,91.38
Poland,POL,2017,91.04
Poland,POL,2018,90.69
Poland,POL,2019,90.34
Poland,POL,2020,89.62
Poland,POL,2021,88.91
Poland,POL,2022,88.91
Portugal,PRT,2000,93.66
Portugal,PRT,2001,93.69
Portugal,PRT,2002,93.73
Portugal,PRT,2003,93.76
Portugal,PRT,2004,93.8
Portugal,PRT,2005,93.84
Portugal,PRT,2006,93.88
Portugal,PRT,2007,93.92
Portugal,PRT,2008,93.96
Portugal,PRT,2009,94
Portugal,PRT,2010,94.12
Portugal,PRT,2011,94.24
Portugal,PRT,2012,94.36
Portugal,PRT,2013,94.45
Portugal,PRT,2014,94.54
Portugal,PRT,2015,94.62
Portugal,PRT,2016,94.71
Portugal,PRT,2017,94.79
Portugal,PRT,2018,94.86
Portugal,PRT,2019,94.94
Portugal,PRT,2020,95.01
Portugal,PRT,2021,95.09
Portugal,PRT,2022,95.16
Puerto Rico,PRI,2000,75.13
Puerto Rico,PRI,2001,75.25
Puerto Rico,PRI,2002,75.36
Puerto Rico,PRI,2003,75.47
Puerto Rico,PRI,2004,75.59
Puerto Rico,PRI,2005,75.7
Puerto Rico,PRI,2006,75.82
Puerto Rico,PRI,2007,75.93
Puerto Rico,PRI,2008,76.04
Puerto Rico,PRI,2009,78.83
Puerto Rico,PRI,2010,81.63
Puerto Rico,PRI,2011,84.43
Puerto Rico,PRI,2012,87.25
Puerto Rico,PRI,2013,90.07
Puerto Rico,PRI,2014,92.9
Puerto Rico,PRI,2015,95.73
Puerto Rico,PRI,2016,98.58
Puerto Rico,PRI,2017,99.45
Puerto Rico,PRI,2018,99.74
Puerto Rico,PRI,2019,99.87
Puerto Rico,PRI,2020,99.87
Puerto Rico,PRI,2021,99.87
Puerto Rico,PRI,2022,99.87
Qatar,QAT,2000,96.34
Qatar,QAT,2001,96.34
Qatar,QAT,2002,96.34
Qatar,QAT,2003,96.34
Qatar,QAT,2004,96.34
Qatar,QAT,2005,96.34
Qatar,QAT,2006,96.34
Qatar,QAT,2007,96.34
Qatar,QAT,2008,96.34
Qatar,QAT,2009,96.69
Qatar,QAT,2010,97.03
Qatar,QAT,2011,97.38
Qatar,QAT,2012,97.72
Qatar,QAT,2013,97.58
Qatar,QAT,2014,97.42
Qatar,QAT,2015,97.27
Qatar,QAT,2016,97.11
Qatar,QAT,2017,96.95
Qatar,QAT,2018,96.79
Qatar,QAT,2019,96.64
Qatar,QAT,2020,96.64
Qatar,QAT,2021,96.65
Qatar,QAT,2022,96.65
Reunion,REU,2000,97.27
Reunion,REU,2001,97.27
Reunion,REU,2002,97.27
Reunion,REU,2003,97.27
Reunion,REU,2004,97.27
Reunion,REU,2005,97.27
Reunion,REU,2006,97.29
Reunion,REU,2007,97.3
Reunion,REU,2008,97.31
Reunion,REU,2009,97.33
Reunion,REU,2010,97.34
Reunion,REU,2011,97.21
Reunion,REU,2012,97.08
Reunion,REU,2013,96.95
Reunion,REU,2014,96.82
Reunion,REU,2015,96.69
Reunion,REU,2016,96.55
Reunion,REU,2017,96.42
Reunion,REU,2018,96.29
Reunion,REU,2019,96.16
Reunion,REU,2020,96.03
Reunion,REU,2021,95.9
Reunion,REU,2022,95.75
